nome,lat,long,alt
M1,-2976.9958532898404,3381.7794754148094,312.7355699675238
M3,-1662.4784644162487,1279.5967656297346,-32.756386200287125
M4,-1732.616829335399,-476.25949852018056,-0.28999049425794965
M5,-1309.7865981839757,-2008.0032180392645,-28.284800222587364
M6,-648.4940967790541,-3310.690534221925,-38.33682451440018
M7,-6824.331307650623,-2481.3405930122694,-22.48251748421285
M9,-5087.100520786582,945.611927074544,12.267622864225245
M10,-4725.9761534414265,-2430.035316181244,-21.229298514335596
M11,-2339.509080908887,-1836.079464162629,-36.91910671739777
M12,-1173.9610005920601,-1146.1066347510948,-13.561359297439992
M13,-538.8044229270532,-4800.862982965276,-36.13322515634172
M14,210.19381328829422,-629.9665130261748,20.114296836328464
M15,-300.11393664942875,-104.52889177839145,25.130085095119874
M16,-248.52249685530617,411.6416822179906,6.438822396588165
M17,0.0,0.0,0.0
M18,777.4393395674596,-2807.7694911636986,38.82602808601496
M19,8511.905805273713,-1928.8652559259745,-41.64390160539324
M20,6146.227065295239,-2355.016885392018,-16.42050188197436
